Partner ,Flow,Start Year,State,Unit,Product ,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Tunisia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$6 ,$10 ,$6 ,$7 ,$14 ,$10 ,$12 ,$9 ,$12 ,$11 ,$9 
Saint Kitts and Nevis,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$14 ,$16 ,$9 ,$15 ,$15 ,$24 ,$11 ,$6 ,$10 ,$9 ,$8 
Curacao,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$42 ,$11 ,$12 ,$30 ,$6 ,$9 ,$3 ,$3 ,$5 ,$8 ,$8 
Gambia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$5 ,$6 ,$4 ,$4 ,$4 ,$5 ,$5 ,$7 ,$6 ,$10 ,$8 
Kenya,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$18 ,$11 ,$21 ,$10 ,$9 ,$7 ,$11 ,$20 ,$30 ,$9 ,$8 
Iran,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$3 ,$2 ,$3 ,$2 ,$2 ,$5 ,$2 ,$3 ,$2 ,$3 ,$7 
Cyprus,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$10 ,$3 ,$3 ,$3 ,$4 ,$3 ,$3 ,$4 ,$11 ,$7 ,$7 
Mongolia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$5 ,$1 ,$3 ,$1 ,$4 ,$2 ,$3 ,$9 ,$2 ,$2 ,$7 
Benin,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$71 ,$55 ,$41 ,$13 ,$12 ,$8 ,$6 ,$15 ,$16 ,$10 ,$7 
Rwanda,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$1 ,$0 ,$0 ,$0 ,$1 ,$0 ,$1 ,$4 ,$3 ,$3 ,$6 
British Virgin Islands,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$2 ,$4 ,$4 ,$3 ,$5 ,$8 ,$3 ,$4 ,$7 ,$6 ,$6 
Bolivia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$20 ,$13 ,$10 ,$8 ,$8 ,$8 ,$4 ,$8 ,$7 ,$16 ,$6 
Saint Lucia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$8 ,$6 ,$5 ,$4 ,$5 ,$14 ,$2 ,$3 ,$4 ,$5 ,$6 
Grenada,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$2 ,$3 ,$4 ,$5 ,$4 ,$3 ,$3 ,$5 ,$4 ,$5 ,$6 
Congo,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$4 ,$3 ,$2 ,$1 ,$2 ,$2 ,$2 ,$5 ,$3 ,$7 ,$6 
Kosovo,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$1 ,$2 ,$2 ,$1 ,$1 ,$0 ,$1 ,$0 ,$0 ,$0 ,$6 
Gabon,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$8 ,$10 ,$2 ,$3 ,$2 ,$2 ,$1 ,$3 ,$3 ,$3 ,$6 
Uganda,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$6 ,$4 ,$4 ,$3 ,$4 ,$3 ,$4 ,$8 ,$9 ,$4 ,$5 
Ethiopia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$7 ,$6 ,$8 ,$6 ,$10 ,$17 ,$11 ,$10 ,$16 ,$5 ,$5 
Sierra Leone,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$2 ,$3 ,$3 ,$6 ,$4 ,$5 ,$7 ,$13 ,$7 ,$6 ,$5 
Burma (Myanmar),Exports,TRUE,New York,Millions of USD,0--All Merchandise,$7 ,$5 ,$4 ,$5 ,$5 ,$9 ,$12 ,$12 ,$6 ,$6 ,$5 
Mauritania,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$2 ,$1 ,$1 ,$2 ,$5 ,$6 ,$7 ,$11 ,$7 ,$7 ,$4 
Montenegro,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$2 ,$1 ,$1 ,$2 ,$2 ,$3 ,$1 ,$3 ,$6 ,$24 ,$4 
Namibia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$11 ,$9 ,$11 ,$9 ,$10 ,$6 ,$3 ,$6 ,$1 ,$2 ,$4 
Azerbaijan,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$8 ,$10 ,$4 ,$10 ,$6 ,$6 ,$3 ,$10 ,$5 ,$11 ,$4 
Burkina Faso,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$17 ,$8 ,$1 ,$2 ,$4 ,$2 ,$3 ,$12 ,$5 ,$5 ,$4 
Liberia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$5 ,$6 ,$5 ,$6 ,$8 ,$5 ,$7 ,$10 ,$8 ,$20 ,$4 
Madagascar,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$7 ,$6 ,$7 ,$7 ,$5 ,$6 ,$4 ,$8 ,$10 ,$11 ,$3 
Cameroon,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$15 ,$3 ,$3 ,$6 ,$5 ,$2 ,$4 ,$6 ,$3 ,$3 ,$3 
Brunei,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$18 ,$7 ,$10 ,$2 ,$11 ,$1 ,$5 ,$1 ,$3 ,$4 ,$3 
Suriname,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$2 ,$5 ,$1 ,$1 ,$1 ,$2 ,$1 ,$1 ,$3 ,$3 ,$3 
Laos,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$4 ,$1 ,$0 ,$0 ,$0 ,$0 ,$1 ,$0 ,$0 ,$0 ,$3 
Nepal,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$1 ,$1 ,$2 ,$4 ,$2 ,$3 ,$1 ,$2 ,$2 ,$2 ,$2 
Mali,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$4 ,$12 ,$5 ,$4 ,$6 ,$5 ,$6 ,$13 ,$7 ,$3 ,$2 
Tajikistan,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$0 ,$0 ,$0 ,$1 ,$3 ,$0 ,$0 ,$1 ,$1 ,$0 ,$2 
